RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
3101,Los Angeles County,California,1,458300,448000,431700,419900,403800,388700,373000,359600,346300,333600,320100,311200,304000,299500,294800,298400,304000,312800,319200,323400,326300,330600,335300,335100,332600,329900,334600,332600,333000,327700,331300,329000,329600,328900,324900,323900,319700,324000,322400,318300,315400,311800,312600,306800,307200,306300,306800,306600,306200,310900,312000,315500,317600,322800,330000,336900,345000,353500,357400,360900,367000,382100,395800,406700,412900,418600,420900,423000,421900,422900,418900,421400,420300,426300,428100,427500,429100,429900,433300,434600,436200,441000,443500,447900,450500,454700,455000,457300,456800,459600,459900,460300,459500,469900,474800,479300,475000,482200,489400,492500,491400,490700,493200,490500,492800,490800,496200,490800,495200,495700,505300,508500,512700,516100,522100,530300,541200,549900,556000,559800,562300,563400,566600,570700,573200,577000,579800,588500,594100,594700,596300,595800,601500,605500,604800,603500,606200,608700,612900,611200,615700,624600,633000
139,Cook County,Illinois,2,285300,280300,255900,242800,235800,234900,238300,238300,232000,226900,218300,215200,212100,206700,197700,189000,190400,196900,199700,201300,202800,202200,203600,199500,197000,193700,191200,191200,183200,178900,171500,174300,175200,179400,179700,181900,175400,169500,159000,156900,158200,163100,166100,163600,158200,155700,153400,153100,153600,154800,154700,155400,157900,161500,162200,156700,156400,154500,159000,157400,157200,156400,161400,170900,183700,192700,194400,194600,191600,192700,190900,193500,190100,188600,188300,193300,196900,200600,205900,207200,204800,201200,202800,203700,206900,209800,211800,209800,205700,198000,195600,190400,188200,185100,184500,187100,187400,189800,189100,190000,191500,195900,195900,197200,198800,203800,205900,209500,209600,209900,206700,203200,200200,201300,202500,204800,205800,209300,211800,218100,226300,228600,223900,222300,225000,228700,227300,228200,233400,226900,230600,239600,255300,256200,245300,236200,232100,232700,234200,235400,237300,241400,244700
1090,Harris County,Texas,3,137600,135500,132000,132000,132400,134300,135700,135200,132700,127200,126400,125400,128000,127800,129500,132200,136600,138900,139900,137700,136500,134000,134500,134300,134900,134200,133300,132600,130500,131000,130300,132300,134000,137400,136500,135200,132500,130300,129000,129300,131300,132800,133400,134600,135400,135900,134200,130700,130600,134000,138400,140300,140500,140000,139400,137100,139300,140500,143100,141200,142000,145800,150600,154000,155900,157700,159000,158700,159100,159700,160600,162700,164700,166400,167500,166700,166300,166700,166600,168500,167800,168400,169200,169200,171200,170900,172200,172900,173700,175800,174900,174400,173300,174900,177300,178000,176700,175700,177200,179500,182100,181900,183700,184100,186100,186700,187500,188000,188900,188300,188500,189100,189800,190600,191800,193900,195600,194600,195200,196400,197800,198600,197800,197000,196900,196400,198500,199600,203100,205500,208000,208800,208600,207700,208500,210000,209600,211300,213000,218700,220600,222700,222600
2402,Maricopa County,Arizona,4,231000,221400,212100,207500,201500,196100,186900,179200,171100,161000,150100,138200,129900,121800,118000,120000,124500,128400,129900,130600,134000,134200,135100,134000,134000,133100,130400,129300,128000,125800,124000,121800,121900,117800,118000,116000,116500,113200,109900,109900,109200,110400,111700,113800,118900,120600,117200,111800,109500,114800,119700,122900,124500,126500,128100,131900,136700,140700,143200,143400,145500,147600,150600,153300,155800,156700,156900,157500,156000,157900,158500,160200,159500,158600,158700,157700,159000,159400,162900,162900,164300,165800,166300,169600,171100,175200,177000,179500,179900,180000,181200,183600,185700,188400,189200,190000,191200,193800,196800,197800,198000,200200,202200,204500,208000,208000,210400,209900,211900,211900,212000,212300,213600,216000,218200,220400,223700,225500,230000,232900,236000,235400,233900,234800,238300,240400,241200,242200,244200,244300,246400,248400,251200,249500,249500,251200,254800,255900,257900,260700,265700,269100,275000
2841,San Diego County,California,5,401900,395400,380800,369700,353500,341600,331200,321200,310700,303500,293700,289700,284400,285700,284200,291000,297500,307900,313600,317900,321600,325300,323400,326300,327900,334600,332300,329300,328400,327400,329000,330300,333700,335700,325500,320200,316700,321900,321600,318200,317000,314500,312000,311900,313200,315300,312800,312700,314800,320900,325500,327000,331700,336900,344400,350200,356200,364500,363300,364700,367600,380400,392400,399400,404800,407200,412100,412800,415800,418000,416000,415800,416400,423400,427300,429400,431800,434900,436700,440800,439100,438000,438000,443100,448600,449800,450600,454700,457800,460200,456500,455900,461200,466900,471700,470000,472300,476100,479900,479800,478300,480500,484100,493700,496500,500300,498600,503500,507800,511500,513600,518000,520900,523100,525700,530700,539800,544700,543300,544900,546300,556900,557100,559500,556300,558300,560500,562200,560200,559000,554900,556900,555300,561200,559800,563100,561500,565800,562800,569400,576700,583600,587700
1286,Orange County,California,6,512400,501900,483400,465500,450500,439400,429800,419100,405000,396600,385400,385500,383500,379600,382500,388300,401700,408400,417400,426000,431700,436300,440800,443000,440300,431800,427000,423900,428900,429300,434100,433000,434000,426400,424800,424800,430700,426700,418900,411000,411200,410700,413500,408800,408400,402100,403600,403500,404800,404500,407100,415700,425700,435800,442300,447500,452700,460600,470900,483400,493600,504900,510900,516400,518900,522900,525800,524600,528300,536000,545400,552000,550500,547300,545900,546300,546100,547100,550400,561800,565500,566600,563800,572400,578000,579400,572600,574300,578900,584800,587100,587900,592200,597400,608200,609900,609600,606700,607500,610600,608600,616000,614500,613800,602100,599000,596000,596200,597500,601700,607500,609100,609500,606800,614300,632600,657600,672700,682100,693200,704200,700800,691400,685900,690100,692000,696500,698600,700200,695400,700300,705200,709300,709500,702800,700600,698200,699300,702200,707900,717200,725900,743600
2964,Miami-Dade County,Florida,7,286400,276500,269600,257800,252300,244500,236100,224500,211600,203300,189400,180100,169600,161500,156500,152200,154100,156100,156500,156800,155600,157100,161200,163700,168500,167100,166100,159400,151500,142800,134700,136400,140500,140900,128500,122000,121400,131200,139000,144100,155700,154500,151300,143600,143200,149000,153500,156900,157600,159500,159700,163600,161800,162800,163500,163900,167400,173600,178100,182700,180300,183700,188400,193000,195700,199700,199900,196000,196600,197600,202400,193200,193700,196600,204200,205700,209200,208500,209200,208100,209000,212600,212500,213200,214500,215400,221500,222400,223800,221100,223300,223500,225800,223600,228000,229200,231600,230500,230100,232500,236400,240100,242400,246000,249700,251000,251500,250900,253800,256900,257700,257500,254900,259400,263600,266000,264700,264500,268500,271900,275700,273800,270800,268500,267900,270500,269200,273100,273900,278000,274900,277100,278300,281900,281600,283100,283500,288800,288600,290900,290400,291800,294700
978,Dallas County,Texas,8,125500,122600,121900,122000,125200,127100,127700,125000,122900,117100,114600,113400,115900,114800,115900,118900,123900,126400,127700,128300,129800,127500,126900,122100,122600,123600,125800,125800,124200,124500,125200,124700,125300,126900,128000,127200,121700,119500,119900,121700,123300,124700,127600,126700,125100,127700,127300,129000,130500,133100,135900,135500,141700,144000,144900,144100,142400,144700,143000,144500,148500,156400,162600,166000,169300,171200,171900,168400,168500,165800,166000,166000,168000,168800,166400,166500,168500,170700,170800,171000,171800,174100,174900,177200,180400,181600,182900,180700,182300,182300,181700,183800,184800,186100,185200,185300,187700,189700,193700,195700,195400,195300,198200,201400,203600,202300,206400,207900,210000,209500,211200,210600,210700,214100,217700,220900,219000,221800,223400,230800,230800,229800,225400,226100,226100,224900,225200,225200,228500,232600,235400,235500,231700,231500,230200,231200,231400,234200,239500,242600,246200,244700,250000
2832,Riverside County,California,9,315000,297700,282800,270800,258800,247400,235800,229300,219700,210000,201000,192700,184800,174800,169500,168500,169700,172000,173800,178000,182000,187000,191100,193600,192800,189800,191100,192700,193900,192300,191300,191100,189400,188700,189500,191600,191200,187900,185800,184100,183100,181200,182300,183900,185300,184100,184800,185200,187800,190400,192000,192100,192900,191600,195900,201900,211300,218700,222600,226900,230500,233900,238100,242800,251000,255100,258300,259800,265000,268900,273100,275800,277200,276500,277600,278800,280700,281700,281900,283400,284200,286300,286300,291000,291000,294200,292300,294200,295100,296400,298200,299900,300900,304000,306800,307600,309800,309900,312100,311900,312100,315800,319400,320700,319100,317300,319200,321900,324200,326800,326900,329500,332800,336900,338000,343900,347100,350500,355800,364100,367000,364800,364200,367300,368100,366000,369800,371100,376300,377500,383100,384000,382500,378900,378200,379600,380000,382900,386600,390900,391900,389300,391900
3250,San Bernardino County,California,10,271200,258100,243100,233500,221700,213700,203800,198100,188600,180700,170200,162900,154200,144200,136100,132100,131900,135400,139200,143200,146300,147900,150000,149900,149400,148500,148500,150100,150900,152200,153200,152900,152300,150600,151700,152600,151500,148400,144900,143400,144600,146900,149200,149100,149400,147400,148400,146500,147500,147600,149500,152100,155500,159700,163400,165500,170100,172500,175600,174600,177200,179500,186200,190100,193100,196400,204700,213900,215000,218100,218200,222400,220400,222900,225400,229300,230400,231400,231000,233800,237000,240600,239400,240300,243200,247400,245500,244300,246500,251900,254400,253000,255300,257700,261300,263000,263600,262500,262800,262200,266000,266100,274500,272600,273600,268600,267700,268100,269300,273200,275700,277700,278900,280600,285400,293400,299400,301600,303800,310600,312700,315800,311900,316000,315800,318600,318300,319200,317300,314600,316000,320800,324600,324500,323800,323400,322800,324000,330300,335700,336400,334400,342500
